county_cd	County Type	year	Population	Total self-supplied groundwater withdrawals, in Mgal/d	Total self-supplied surface-water withdrawals, in Mgal/d	Total self-supplied withdrawals, in Mgal/d	Total consumptive use, fresh, in Mgal/d	Total conveyance loss, in Mgal/d	 Total sprinkler irrigation, in thousand acres	Total microirrigation, in thousand acres	Total surface irrigation, in thousand acres	Total irrigation, in thousand acres	Total reclaimed wastewater, in Mgal/d	$E-Total conveyance loss, in Mgal/d
31.000	Urban	2010.000	600.158	0.400	0.610	1.010	$null$	$null$	1.020	0.000	0.000	1.020	$null$	-2.163
31.000	Urban	2015.000	682.545	0.670	0.860	1.530	1.670	$null$	2.050	0.000	0.350	2.400	$null$	-2.462
33.000	Frontier	1985.000	1.580	0.170	5.030	5.200	1.460	0.550	0.100	$null$	1.100	1.200	0.000	-0.550
33.000	Frontier	1990.000	1.500	0.910	13.880	14.790	9.210	3.790	0.650	$null$	7.270	7.920	0.000	1.109
33.000	Frontier	1995.000	1.590	1.330	26.170	27.500	11.570	6.870	0.650	0.000	7.250	7.900	0.000	5.942
33.000	Frontier	2000.000	1.840	1.710	52.520	54.230	$null$	$null$	13.060	0.000	0.000	13.060	$null$	13.175
33.000	Frontier	2005.000	1.827	3.750	1.230	4.980	$null$	$null$	6.730	0.000	1.630	8.360	$null$	-3.182
33.000	Frontier	2010.000	2.064	0.000	5.100	5.100	$null$	$null$	2.580	0.000	5.980	8.560	$null$	-3.016
33.000	Frontier	2015.000	1.978	0.000	4.160	4.160	3.670	$null$	2.600	0.000	5.540	8.140	$null$	-3.250
35.000	Urban	1985.000	36.760	2.140	5.780	7.920	4.380	2.420	1.870	$null$	1.640	3.510	0.000	-0.244
35.000	Urban	1990.000	60.390	3.990	10.240	14.230	8.050	4.190	2.860	$null$	2.510	5.370	0.000	1.625
35.000	Urban	1995.000	99.580	3.120	9.330	12.450	6.620	3.790	2.860	0.000	2.510	5.370	1.670	0.888
35.000	Urban	2000.000	175.770	1.560	9.340	10.900	$null$	$null$	1.930	0.000	3.690	5.620	$null$	0.217
35.000	Urban	2005.000	249.416	3.590	13.150	16.740	$null$	$null$	3.290	0.000	2.710	6.000	$null$	2.311
35.000	Urban	2010.000	285.465	1.860	13.810	15.670	$null$	$null$	1.880	0.000	2.200	4.080	$null$	2.492
35.000	Urban	2015.000	322.387	1.640	10.100	11.740	3.350	$null$	2.060	0.000	0.660	2.720	$null$	1.368
37.000	Rural	1985.000	18.260	0.570	217.280	217.850	38.390	52.880	1.500	$null$	31.890	33.390	0.000	70.194
37.000	Rural	1990.000	21.930	0.630	176.360	176.990	42.880	52.950	1.430	$null$	30.610	32.040	0.000	55.183
37.000	Rural	1995.000	28.840	0.370	127.140	127.510	24.610	38.160	0.960	0.000	20.630	21.590	0.000	39.587
37.000	Rural	2000.000	41.660	0.420	129.040	129.460	$null$	$null$	0.000	0.000	18.010	18.010	$null$	41.474
37.000	Rural	2005.000	47.530	0.010	145.660	145.670	$null$	$null$	2.170	0.000	19.460	21.630	$null$	46.265
37.000	Rural	2010.000	52.197	0.010	126.570	126.580	$null$	$null$	4.940	0.000	13.590	18.530	$null$	39.656
37.000	Rural	2015.000	53.605	0.010	132.130	132.140	17.970	$null$	6.910	0.000	13.990	20.900	$null$	40.846
39.000	Frontier	1985.000	8.490	7.620	2.540	10.160	5.400	1.510	2.430	$null$	2.580	5.010	0.000	0.515
39.000	Frontier	1990.000	9.650	16.410	5.360	21.770	12.920	3.110	4.230	$null$	4.470	8.700	0.000	4.282
39.000	Frontier	1995.000	14.560	23.300	8.100	31.400	18.330	4.620	6.540	0.000	6.970	13.510	0.000	6.778
39.000	Frontier	2000.000	19.870	8.770	7.130	15.900	$null$	$null$	12.920	0.000	0.470	13.390	$null$	-0.836
39.000	Frontier	2005.000	22.788	1.080	11.060	12.140	$null$	$null$	4.560	0.000	0.820	5.380	$null$	0.426
39.000	Frontier	2010.000	23.086	2.360	8.400	10.760	$null$	$null$	2.760	0.000	0.700	3.460	$null$	0.760
39.000	Frontier	2015.000	24.735	3.490	11.650	15.140	3.960	$null$	3.610	0.000	2.870	6.480	$null$	1.525
41.000	Urban	1985.000	368.750	11.420	11.100	22.520	11.840	5.350	4.310	$null$	5.250	9.560	1.440	3.931
